Majority Protein ID,Sample 01_WT,Sample 02_T1,Sample 03_T2,Sample 04_WT,Sample 05_T1,Sample 06_T2,Sample 07_WT,Sample 08_T1,Sample 09_T2,Sample 10_WT,Sample 11_T1,Sample 12_T2,Sample 13_WT,Sample 14_T1,Sample 15_T2
A2RT62,47249000,86407000,157020000,145140000,146390000,187080000,140990000,109240000,104530000,163470000,137240000,141360000,92638000,105160000,132950000
A2TJV2,29625000,21936000,40179000,38240000,20671000,29688000,9402000,20874000,15693000,16680000,17384000,18719000,22131000,29499000,23686000
A3KFM7,424600000,433490000,624030000,619430000,6728100000,369000000,439600000,526770000,667190000,436140000,276220000,0,6354200000,519180000,310310000
A3KFX0,76031000,74197000,105420000,80232000,72220000,72703000,69112000,76329000,70429000,53322000,104590000,116690000,116390000,95526000,78582000
A3KGF9,12505000,8898300,10801000,12221000,4687100,11122000,11896000,9573700,10805000,6024000,11690000,13206000,21029000,10667000,12810000
A3KGS3,0,0,0,688670,0,0,0,0,0,0,0,0,0,0,0
A3KMP2,123800000,128260000,135900000,131090000,118260000,164910000,122850000,118100000,133970000,152150000,116970000,124750000,135600000,159860000,160870000
A4FUP9,8853200,11931000,11106000,10648000,6906900,8205200,13043000,7614000,9056200,9057200,11136000,9193300,9406200,9941600,8750000
A6H5Y3,77213000,89192000,88650000,66243000,73457000,92839000,71544000,77588000,70377000,92027000,55861000,102460000,95123000,75787000,82467000
A6H5Z3,82766000,85434000,95033000,91260000,93814000,96040000,73634000,68381000,80066000,63790000,74889000,82570000,110280000,75165000,115860000
A6H611,108450000,68916000,79832000,71628000,83139000,60566000,89910000,67609000,66439000,62700000,70804000,97965000,83592000,55032000,128390000
A6H630,502430000,420070000,453740000,380530000,464350000,627310000,467690000,423800000,530990000,520670000,491550000,516000000,522280000,532620000,483730000
A6H6A9,68306000,59470000,61692000,57804000,67583000,75195000,53261000,67419000,57845000,53345000,37559000,94383000,74771000,62588000,64319000
A6H8H2,1391200,1062500,1549000,1815500,1622500,1240800,1444100,1690700,1060800,818400,1137400,1363200,1709600,1685200,0
A6X919,199280000,12764000,31722000,185710000,177270000,221420000,4574000,32870000,28027000,4314600,194060000,26874000,219190000,192020000,29712000
B0F2B4,47845000,54992000,70029000,68032000,54052000,87321000,44368000,76766000,41553000,70005000,49163000,63492000,48977000,55947000,60941000
B0V2N1,137020000,126650000,117610000,122320000,113190000,132820000,89394000,115750000,98002000,138290000,117910000,122800000,112400000,95238000,136570000
B1AR13,176080000,200310000,228160000,244980000,161650000,216380000,145980000,154650000,197160000,162460000,180190000,228640000,186660000,188290000,145320000
B1AS29,0,0,0,3411600,0,0,0,0,0,0,0,0,0,0,0
