Majority Protein ID,Sample 01_WT,Sample 02_T1,Sample 03_T2,Sample 04_WT,Sample 05_T1,Sample 06_T2,Sample 07_WT,Sample 08_T1,Sample 09_T2,Sample 10_WT,Sample 11_T1,Sample 12_T2,Sample 13_WT,Sample 14_T1,Sample 15_T2
A2A432,1.3508129155128414,1.1158240885086919,1.386296584119154,1.3681390374981977,1.1971124589361237,1.1002579215214077,1.0815710097244502,1.2604206451715336,1.2465134235586817,1.1818024160748637,1.541359380357258,1.2819103662108542,0.9649319092478372,1.425174519800206,1.6708983238765014
A2A5R2,1.3713050664140178,1.5245346985497343,1.4774206528523368,1.597142844250103,0.9561276793514033,1.3765110816114325,1.5104785704718358,1.5017545366362706,1.3243572902530691,0.8981954688654499,1.4796830171346886,1.1102787844005366,1.1291461124036293,1.2406894798334427,1.1892243993016434
A2A690,0.5927887814987367,0.5318903118251035,0.5898940713197044,0.6379797284787695,0.4281574239223674,0.4880579043245087,0.4215393725987424,0.625789014158356,0.4924440710554585,0.43765916501574104,0.6465024134230282,0.4814013792743541,0.49467082389421907,0.4787888590649809,0.5312463354575501
A2A699,0.40952311793027457,0.36381944467587884,0.3591571873890734,0.3116402717035562,0.2607699847109761,0.3053728163054732,0.3306773017881685,0.44709860501906834,0.26463236289006403,0.3538358269872388,0.35510083670363235,0.43034591562779073,0.30241388758413024,0.35856094110771763,0.4030115641045071
A2A6T1,0.5234770946271106,0.4756960075043865,0.5126070240125394,0.4154997173485548,0.38853418268153483,0.37557484151203574,0.5082855477851367,0.40295506941685233,0.5119855024465482,0.5602564612400299,0.45971978009507075,0.4464174706448181,0.3360110816512373,0.540266357430436,0.6121865995541489
A2A8L1,0.685884344868787,0.6249682565641584,0.0,0.6712180542728257,0.5308004869462383,0.47387365904942064,0.5126954359539005,0.7631973187675496,0.24490701214470534,0.3235206428140957,0.7054302756107237,0.7690760765513154,0.48648680076836165,0.2717095248271528,0.62595671368823
A2A8L5,0.6266796464506823,0.5698960951951735,0.5724157284657873,0.5348583388257817,0.34459389496646303,0.573163375975037,0.49510181961393607,0.6520187989861413,0.30859828452808735,0.5491794952579966,0.6178080626189452,0.49959476534109276,0.42628085672944505,0.6044761890565782,0.6045313496626598
A2A8Z1,0.371825905491934,0.39873116398486247,0.3302815084658311,0.22370838403999502,0.26920030099021613,0.2604067610024194,0.27684910432819354,0.3303710947731456,0.29356287731659014,0.3689270488230916,0.3369277478610464,0.33330721669110164,0.30789006653660617,0.31603112300771813,0.36728862055599093
A2A935,0.8001674941253477,0.9549654411074925,0.8493382230575374,0.8676028829162782,0.545064853792938,0.6769680780163856,0.9711859965000776,1.0858534787229772,0.88497395290424,0.649833413417051,0.949277287424732,0.7405804116275079,0.5944091579019515,1.0395477159505688,0.8749390485736155
A2AAE1,0.6005312910021223,0.647574534475265,1.0351821654339535,0.7227271367921858,0.6218962053799237,0.697425355708907,0.6587270452091152,0.6711446837564015,0.5893235909166957,0.6875042522733047,1.0220575948281918,1.0183035459233856,0.8074428381389455,0.9199555909251191,0.9245581378093044
A2AB59,0.10096325117079609,0.05334373438556467,0.09091924440286339,0.07893070129945653,0.05694425812611073,0.11178783501589115,0.038008183017885215,0.11401014427986242,0.05844037481899979,0.08154844046938213,0.07292872645934287,0.11439475084951277,0.07905766339578305,0.08381957725861036,0.09228777171014166
A2ADY9,1.125862878923457,1.548067016760814,1.1274441471133547,1.5405241433245136,0.6509532489565342,1.4634145561841552,1.3681218680239244,1.439210409556381,0.8084175216897359,1.1659193284890557,1.812251642354425,0.9759107644136596,0.6276434083347814,1.1534124501026555,1.1054367556722344
