Assay,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7
ABCF3,0.4739718435000011,0.12975794075000066,-0.059141636499999206,-0.11424112299999933,0.39277243575000065,0.5509905815000006,-0.059141636499999206
ABHD8,-0.41430092499999915,-0.30785363974999896,4.3802475900000015,-0.3928632804999986,4.001123664250001,4.4432597130000016,4.3802475900000015
ACAD9,0.13911914850000082,-0.8050593682500016,0.07568693150000039,-4.697423939,1.07002186775,0.9811577795000002,0.07568693150000039
ACSM5,0.5855398175000008,-1.5710467702500002,-0.4051718714999999,-1.0953416830000011,-0.41407227525000034,0.6440134044999998,-0.4051718714999999
ADGRF2,0.29510045050000144,-284.2380731375,0.36535048450000085,-0.6428196430000002,-0.12330102925000011,-0.7902085774999987,0.36535048450000085
AFTPH,-0.6479573254999993,-0.015682637249999853,0.13819837550000047,0.6057715420000003,1.0941288467499999,0.8283319475000006,0.13819837550000047
AHI1,-3.5787205735,1.36061626675,-1.0796279915000002,0.6715359690000007,0.7348248957499994,-0.9941787744999997,-1.0796279915000002
AJM1,1.1497192375000018,0.05622869675000031,-0.2200102814999982,-0.009414672999998434,-1.21621489525,-2.260092256499999,-0.2200102814999982
AKAP5,0.2540647974999999,0.8319318887499993,0.33494877749999974,-0.19881606200000057,0.5718536367499996,-1.7394025334999998,0.33494877749999974
ALPK2,0.30374670050000063,-0.14197820425000046,0.17348337150000015,-0.7140364650000004,0.11447739674999924,-0.2899513245000005,0.17348337150000015
AMELY,-0.10966920899999885,0.12442594724999936,-0.0401306159999994,0.5083360675000002,-265.7202603625,0.0,-0.0401306159999994
ANAPC10,-0.5524730684999994,0.28144890075000056,0.6332669255000003,0.013961315000000418,-0.06778454724999941,-0.3543477054999986,0.6332669255000003
ANKRD20A1,-5.098685745499999,-0.7443108002499987,0.8717126845000003,0.010214327999999988,0.14270949375000017,-5.099106786499998,0.8717126845000003
ANKRD26P1,0.5343310825000005,0.8841655847499994,0.7282819734999992,0.0765197269999991,0.02228832174999984,-0.4473698145,0.7282819734999992
ANKRD28,0.5441210265000009,0.14371043474999956,0.3806011674999996,0.7316110129999993,0.4962420467499993,0.4784276485000003,0.3806011674999996
ANKRD34B,0.5791423320000009,0.6457889682499993,-0.6739776139999996,-0.07552981350000021,0.14281892824999984,0.2370307440000001,-0.6739776139999996
ANKRD34C,0.0665416710000005,-0.48251241474999995,0.6730942720000004,0.34501504849999964,0.31421732925,-0.9519500739999998,0.6730942720000004
ANKRD36BP1,0.023462295500000785,0.5883837337500002,-1.3069877634999991,-0.06728983,0.20560479175000004,-0.1324753764999996,-1.3069877634999991
ANKRD45,-0.19878411249999936,0.7403686647499996,0.5693938735000006,1.240321875,-2.296428203249999,0.12061619750000038,0.5693938735000006
ANLN,-3.953361515000001,-3.846914229750001,0.6098618500000004,0.8229637144999984,0.5261938572499993,0.7466578479999999,0.6098618500000004
APBB1,-0.5403554439999994,0.32801109524999994,0.0,-0.010650396499999996,-0.017935037750000257,0.2604272359999999,0.0
APEX2,-0.6769042049999996,-0.5704569197499993,4.006612778000001,-0.655466560499999,-0.7209112687499999,-0.6773252459999988,4.006612778000001
APLF,0.902432920000001,-3.313047824749999,-3.3798341709999997,1.459923266500001,-3.4635021737500002,-1.8349533109999998,-3.3798341709999997
APOBEC2,0.100459099000001,0.02739578524999997,-0.585214138,0.20992183649999954,-0.4585750107500004,-0.0704832079999998,-0.585214138
APTX,-1.1604514124999992,-0.5065159202499996,0.9425363535000013,-0.12063455599999887,0.017935037750000243,0.6932778355000009,0.9425363535000013
AQP1,-0.3414487839999989,1.9079566602499998,-0.4273180970000001,-0.6570453645000001,-4.9704177427500005,0.6878781319999998,-0.4273180970000001
AREL1,0.28847217549999904,-4.649474082250002,-0.32394266149999984,-4.734483723,0.48547387174999845,0.49158525449999846,-0.32394266149999984
ARFGEF2,-0.6096613409999989,-0.020130812749999283,-1.5375778679999987,-0.38944363649999936,-0.14731502575000002,0.6169874670000004,-1.5375778679999987
AAAS,-1.2602822779999991,0.06666547124999986,-0.7126805780000001,-0.6851003164999998,-0.66308164575,0.09005427399999985,-0.7126805780000001
AAGAB,0.7964048385000027,-0.6821107272499991,-1.096819401499999,0.41041851000000135,0.44754385975000166,-0.8958935744999987,-1.096819401499999
AASDH,0.12988376550000066,0.09447818974999975,-0.1475658424999992,0.4111356730000004,-0.43076539025000016,-1.6515951164999998,-0.1475658424999992
ABCB5,-0.3401870729999982,0.3564978242500004,-0.6790370949999995,1.0438208574999999,-1.368426084749999,-1.6784768109999997,-0.6790370949999995
ABCC6,-0.8370127679999992,-5.68476146275,0.8778090470000002,0.5156311984999995,-1.13477540075,0.2744598389999986,0.8778090470000002
ABCC8,1.484488964500002,-5.163950858249999,0.9391880035000002,1.1260786059999999,-5.31440520725,0.9386343955000012,0.9391880035000002
ABCF2,-0.7641277314999986,-5.049997268249999,-0.20989275049999942,0.5929136269999997,-0.6154887672500002,-0.4564251904999992,-0.20989275049999942
ABLIM3,-0.8287935265000002,-0.4268893602500001,-0.5481228835000009,0.0,-0.22370600725000037,1.2659440034999991,-0.5481228835000009
ABRA,0.012040972000000788,0.01568263724999986,-0.24520504499999962,0.14470207650000022,-0.6465669867499997,-0.07551848899999938,-0.24520504499999962
ACBD7,0.0,1.906677782249999,0.18168020199999946,0.5557746884999979,-0.20154738475000114,1.6651606559999992,0.18168020199999946
ACIN1,-0.5552964214999995,0.8591061237499997,0.6600723265000004,-0.02015495300000048,0.44772267374999974,-1.8596500000384042e-05,0.6600723265000004
